mca12,ident3,se2,coded_ms,id3_ind,se2_ind,int_111,int_2,int_2_ind,F1_initial,F1_second,F1_fitted,B1_fitted,B2_fitted,F2_fitted,B3_fitted,B4_fitted,F1,B1,B2,F2,B3,B4,F1,F1,B1,B2,F2,B3,B4,Best_Model,se2_id3_ind Model,se3_ind,se3_ind+id3_ind,id3_ind_model,int_2_model,int_0_fitted,int_0_model
4,9,7,1,1,1,1,7,1,4.45,0,4.45,4.96,4.91,4.27,4.27,4.24,-0.45,-0.96,-0.91,-0.27,-0.27,-0.24,,,,,,,,1.14,-0.645,1,-0.41,-1.22,-0.75,4.79,-0.79
5,7,6,0,0,1,0,0,0,1.96,3.18,5.14,5.82,5.95,6.54,6.47,6.68,-0.14,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-0.755,1,-0.53,-1.21,-1.05,6.04,-1.04
4,8,9,0,1,0,0,0,0,1.49,4.77,6.26,5.39,5.43,5.59,5.54,5.57,-2.26,-1.39,-1.43,-1.59,-1.54,-1.57,,,,,,,,-2.1,-1.59,0,-1.6,-1.22,-2.05,6.04,-2.04
9,9,9,0,1,0,0,0,0,1.02,4.77,5.79,4.96,4.91,5.59,5.54,5.57,3.21,4.04,4.09,3.41,3.46,3.43,,,,,,,,2.9,3.41,0,3.4,3.78,2.95,6.04,2.96
6,9,9,0,1,0,0,0,0,1.02,4.77,5.79,4.96,4.91,5.59,5.54,5.57,0.21,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
9,8,7,0,1,1,0,0,0,1.49,3.71,5.2,5.39,5.43,5.59,5.54,5.57,3.8,3.61,3.57,3.41,3.46,3.43,,,,,,,,2.9,4.355,0,3.4,3.78,2.95,4.79,4.21
5,8,8,1,1,0,1,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,-0.41,-0.39,-0.43,-0.59,-0.54,-0.57,,,,,,,,2.14,-0.59,1,0.59,-0.22,-1.05,6.04,-1.04
6,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,0.61,0.18,0.05,0.78,0.8,0.65,,,,,,,,-0.1,0.245,0,-0.72,-0.21,1.25,6.04,-0.04
6,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,0.61,0.18,0.05,0.78,0.8,0.65,,,,,,,,-0.1,0.245,0,-0.72,-0.21,1.25,6.04,-0.04
4,6,7,1,0,1,0,7,1,5.86,0,5.86,6.25,6.47,5.22,5.2,5.35,-1.86,-2.25,-2.47,-1.22,-1.2,-1.35,,,,,,,,-2.1,-1.755,1,-1.53,-2.21,-0.75,6.04,-2.04
4,6,8,1,0,0,0,8,0,6.35,0,6.35,6.25,6.47,6.54,6.47,6.68,-2.35,-2.25,-2.47,-2.54,-2.47,-2.68,,,,,,,,-2.1,-2.7,0,-2.72,-2.21,-2.05,6.04,-2.04
6,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,-0.2,0.18,0.05,-0.54,-0.47,-0.68,,,,,,,,-0.1,-0.7,0,-0.72,-0.21,-0.05,6.04,-0.04
6,9,8,0,1,0,0,0,0,1.02,4.24,5.26,4.96,4.91,5.59,5.54,5.57,0.74,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
4,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,-2.2,-1.82,-1.95,-2.54,-2.47,-2.68,,,,,,,,-2.1,-2.7,0,-2.72,-2.21,-2.05,6.04,-2.04
3,9,8,0,1,0,0,0,0,1.02,4.24,5.26,4.96,4.91,5.59,5.54,5.57,-2.26,-1.96,-1.91,-2.59,-2.54,-2.57,,,,,,,,-3.1,-2.59,0,-2.6,-2.22,-3.05,6.04,-3.04
6,7,7,0,0,1,0,0,0,1.96,3.71,5.67,5.82,5.95,6.54,6.47,6.68,0.33,0.18,0.05,-0.54,-0.47,-0.68,,,,,,,,-0.1,0.245,1,0.47,-0.21,-0.05,6.04,-0.04
5,6,8,0,0,0,0,0,0,2.43,4.24,6.67,6.25,6.47,6.54,6.47,6.68,-1.67,-1.25,-1.47,-1.54,-1.47,-1.68,,,,,,,,-1.1,-1.7,1,-0.53,-1.21,-1.05,6.04,-1.04
6,8,9,0,1,0,0,0,0,1.49,4.77,6.26,5.39,5.43,5.59,5.54,5.57,-0.26,0.61,0.57,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
7,7,9,0,0,0,0,0,0,1.96,4.77,6.73,5.82,5.95,6.54,6.47,6.68,0.27,1.18,1.05,0.46,0.53,0.32,,,,,,,,0.9,0.3,0,0.28,0.79,0.95,6.04,0.96
6,9,8,0,1,0,0,0,0,1.02,4.24,5.26,4.96,4.91,5.59,5.54,5.57,0.74,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
6,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,0.27,0.61,0.57,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
5,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,0.27,0.04,0.09,-0.59,-0.54,-0.57,,,,,,,,-1.1,0.355,1,0.59,-0.22,-1.05,4.79,0.21
6,8,7,0,1,1,0,0,0,1.49,3.71,5.2,5.39,5.43,5.59,5.54,5.57,0.8,0.61,0.57,0.41,0.46,0.43,,,,,,,,-0.1,1.355,0,0.4,0.78,-0.05,4.79,1.21
5,7,6,0,0,1,0,0,0,1.96,3.18,5.14,5.82,5.95,6.54,6.47,6.68,-0.14,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-0.755,1,-0.53,-1.21,-1.05,6.04,-1.04
6,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,1.27,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,1.355,1,1.59,0.78,-0.05,4.79,1.21
3,5,5,0,0,1,0,0,0,2.9,2.65,5.55,6.68,6.99,6.54,6.47,6.68,-2.55,-3.68,-3.99,-3.54,-3.47,-3.68,,,,,,,,-3.1,-2.755,1,-2.53,-3.21,-3.05,6.04,-3.04
1,9,5,0,1,1,0,0,0,1.02,2.65,3.67,4.96,4.91,5.59,5.54,5.57,-2.67,-3.96,-3.91,-4.59,-4.54,-4.57,,,,,,,,-5.1,-3.645,1,-3.41,-4.22,-5.05,4.79,-3.79
